epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,5342.9,1.09068,1.97336,0.61535,1.10585,0.83268,0.81279,0.84545,0.5281,0.85214,0.80204,0.84216,0.47821,1.41558,2.4378,0.72043,1.32426,0.00130576,0.00130576,0.00130576
111,5391.24,1.08854,1.95752,0.61171,1.10131,0.84016,0.82638,0.8533,0.5259,0.84167,0.81382,0.84261,0.47771,1.4244,2.43884,0.72381,1.32803,0.00128269,0.00128269,0.00128269
112,5439.55,1.09253,1.94086,0.61288,1.10131,0.84488,0.81846,0.84763,0.52468,0.84342,0.81565,0.84191,0.47443,1.43755,2.46022,0.72621,1.33923,0.00125969,0.00125969,0.00125969
113,5487.88,1.07478,1.94003,0.61275,1.09243,0.85979,0.80349,0.84613,0.52753,0.86673,0.7946,0.84112,0.48022,1.43303,2.45413,0.70996,1.33363,0.00123674,0.00123674,0.00123674
114,5536.21,1.08028,1.96492,0.61182,1.10124,0.85747,0.82235,0.85132,0.52926,0.86384,0.81212,0.8453,0.4773,1.42412,2.46518,0.71303,1.34371,0.00121386,0.00121386,0.00121386
115,5584.56,1.09037,1.95783,0.61784,1.10176,0.84471,0.81058,0.84384,0.52575,0.83623,0.80831,0.83934,0.47471,1.43325,2.45442,0.71816,1.33214,0.00119106,0.00119106,0.00119106
116,5632.84,1.09067,1.9709,0.61879,1.10602,0.85777,0.79579,0.84522,0.52706,0.85656,0.79062,0.83667,0.47124,1.41725,2.44921,0.71606,1.33246,0.00116833,0.00116833,0.00116833
117,5681.34,1.06949,1.95101,0.60633,1.09355,0.84398,0.81509,0.84877,0.5298,0.84086,0.80797,0.84409,0.4801,1.42076,2.44565,0.70262,1.32789,0.0011457,0.0011457,0.0011457
118,5729.74,1.05921,1.91804,0.6003,1.08807,0.86027,0.80539,0.8511,0.53352,0.85869,0.79483,0.83851,0.47895,1.41554,2.46118,0.71292,1.33004,0.00112315,0.00112315,0.00112315
119,5778.3,1.0616,1.93021,0.59483,1.08625,0.86163,0.80428,0.84734,0.53296,0.86175,0.80233,0.84113,0.48016,1.41595,2.45548,0.712,1.33043,0.0011007,0.0011007,0.0011007
120,5826.88,1.06226,1.93202,0.59458,1.08974,0.83879,0.81666,0.84684,0.53204,0.83644,0.80505,0.83907,0.47865,1.41624,2.45065,0.71279,1.33523,0.00107835,0.00107835,0.00107835
121,5875.03,1.06985,1.94799,0.59383,1.09069,0.82475,0.82088,0.84594,0.52913,0.84184,0.80375,0.84044,0.47984,1.40575,2.43425,0.71398,1.32686,0.00105611,0.00105611,0.00105611
122,5923.31,1.05695,1.91732,0.59535,1.08897,0.8498,0.79865,0.84261,0.52509,0.85368,0.79268,0.83603,0.47652,1.42191,2.46133,0.72942,1.34345,0.00103398,0.00103398,0.00103398
123,5971.63,1.03895,1.88489,0.5761,1.07719,0.84441,0.81669,0.85068,0.5334,0.84753,0.81935,0.84704,0.48264,1.41794,2.45034,0.7116,1.33948,0.00101197,0.00101197,0.00101197
124,6020.2,1.04443,1.8972,0.58144,1.07828,0.84624,0.80697,0.84753,0.52987,0.84031,0.80168,0.83673,0.48217,1.41909,2.4523,0.71185,1.3381,0.00099009,0.00099009,0.00099009
125,6068.54,1.05111,1.91403,0.5832,1.07934,0.85477,0.79475,0.84173,0.52651,0.85581,0.79009,0.83454,0.47782,1.4136,2.45039,0.71805,1.33676,0.000968335,0.000968335,0.000968335
