pair_id,platform,method,error_px
DJI_00770287,B,LoFTR,10.621308326721191
DJI_00770287,B,ECC+MI,542.24462890625
DJI_00770287,B,ECC+MI,537.8837280273438
DJI_00770287,B,ECC+MI,554.0791625976562
DJI_00770287,B,ECC+MI,546.9922485351562
DJI_00770287,B,ECC+MI,547.151123046875
DJI_00770287,B,ECC+MI,297.5477600097656
DJI_00770287,B,ECC+MI,268.6520690917969
DJI_00770287,B,ECC+MI,325.8626403808594
DJI_00770287,B,ECC+MI,309.8176574707031
DJI_00770287,B,ECC+MI,294.7421569824219
DJI_00790045,B,ECC,76.36199188232422
DJI_00790045,B,ECC,79.22039031982422
DJI_00790045,B,ECC,71.4158706665039
DJI_00790045,B,ECC,324.53033447265625
DJI_00790045,B,ECC,74.43978881835938
DJI_00790045,B,ECC,75.22881317138672
DJI_00790045,B,ECC,71.9106674194336
DJI_00790045,B,ECC,74.77470397949219
DJI_00790045,B,ECC,89.6502456665039
DJI_00790045,B,ECC,77.6678237915039
DJI_00790045,B,MI,7.721680164337158
DJI_00790045,B,MI,8.492527961730957
DJI_00790045,B,MI,7.592819690704346
DJI_00790045,B,MI,306.6006774902344
DJI_00790045,B,MI,7.664655685424805
DJI_00790045,B,MI,8.961052894592285
DJI_00790045,B,MI,10.59055233001709
DJI_00790045,B,MI,8.463444709777832
DJI_00790045,B,MI,6.9275126457214355
DJI_00790045,B,MI,5.13200044631958
DJI_00790045,B,LoFTR,0.9339417219161987
DJI_00790045,B,LoFTR,1.0631285905838013
DJI_00790045,B,LoFTR,1.6144174337387085
DJI_00790045,B,LoFTR,312.9728698730469
DJI_00790045,B,LoFTR,1.3922961950302124
DJI_00790045,B,LoFTR,1.2500231266021729
DJI_00790045,B,LoFTR,5.207779884338379
DJI_00790045,B,LoFTR,0.7526336312294006
DJI_00790045,B,LoFTR,1.6004446744918823
DJI_00790045,B,LoFTR,1.3844987154006958
DJI_00790045,B,ECC+MI,208.94390869140625
DJI_00790045,B,ECC+MI,84.74131774902344
DJI_00790045,B,ECC+MI,204.50621032714844
DJI_00790045,B,ECC+MI,226.15748596191406
DJI_00790045,B,ECC+MI,207.73521423339844
DJI_00790045,B,ECC+MI,87.57738494873047
DJI_00790045,B,ECC+MI,91.4489517211914
DJI_00790045,B,ECC+MI,87.12158966064453
DJI_00790045,B,ECC+MI,66.13985443115234
DJI_00790045,B,ECC+MI,214.45826721191406
DJI_00790094,B,ECC,9.988730430603027
DJI_00790094,B,ECC,9.389032363891602
